Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2023-03-17,13.66,13.94,14,13.66,1.44,1.9
2023-03-16,13.9,13.68,13.98,13.58,0.06,-1.16
2023-03-15,13.98,13.84,14,13.7,0.07,-1.14
2023-03-14,13.82,14,14,13.5,0.1,0.86
2023-03-13,13.9,13.88,14,13.62,0.15,-0.43
2023-03-10,13.98,13.94,14,13.88,0.06,-0.29
2023-03-09,14,13.98,14,13.8,0.07,-0.14
2023-03-08,13.98,14,14,13.74,0.13,0
2023-03-07,14,14,14.08,13.96,0.1,0.29
2023-03-06,14,13.96,14.1,13.96,0.09,-0.29
2023-03-03,14,14,14.04,13.98,0.1,0
2023-03-01,14.1,14,14.1,13.84,0.19,0
2023-02-28,14.18,14,14.38,13.94,0.48,0.29
2023-02-27,14.48,13.96,14.58,13.94,0.23,-3.06
2023-02-24,14.14,14.4,14.48,14.14,0.06,1.98
2023-02-23,14.02,14.12,14.2,14.02,0.02,0.71
2023-02-22,14.1,14.02,14.1,14,0.03,0
2023-02-21,14.16,14.02,14.16,14,0.02,0.14
2023-02-20,14.1,14,14.2,14,0.02,-0.71
2023-02-17,14.14,14.1,14.18,13.98,0.07,-0.14
2023-02-16,14.16,14.12,14.16,13.96,0.03,-0.14
2023-02-15,14.1,14.14,14.18,14,0.02,1
2023-02-14,14.06,14,14.16,14,0.01,-0.43
2023-02-13,14.18,14.06,14.18,13.9,0.04,-0.71
2023-02-10,14.06,14.16,14.16,13.7,1.7,-0.28
2023-02-09,14.34,14.2,14.48,14.18,0.05,-0.98
2023-02-08,14.2,14.34,14.48,14.16,0.05,0.99
2023-02-07,14.32,14.2,14.32,14.02,0.04,-0.84
2023-02-06,14.3,14.32,14.4,14.2,0.06,0.14
2023-02-03,14.1,14.3,14.38,14.08,0.17,1.56
2023-02-02,14.16,14.08,14.2,14,0.04,0.57
2023-02-01,14,14,14.18,13.8,0.05,0
2023-01-31,13.72,14,14.18,13.7,0.07,1.01
2023-01-30,14.04,13.86,14.18,13.66,0.12,-2.39
2023-01-27,14.1,14.2,14.2,13.92,0.08,0
2023-01-26,14,14.2,14.28,14,0.06,1.43
2023-01-25,14.28,14,14.28,13.9,0.13,-1.82
2023-01-24,13.9,14.26,14.3,13.9,0.17,2.89
