Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2023-03-17,304.5,307,308.5,303.5,2.02,0.82
2023-03-16,305,304.5,305,297,6.66,0.5
2023-03-15,310,303,311,301,3.82,-2.26
2023-03-14,306.5,310,310,303.5,1.28,1.47
2023-03-13,307,305.5,311,300.5,6.82,-1.29
2023-03-10,308,309.5,310,304,6.7,-0.48
2023-03-09,303.5,311,311.5,299.5,5.79,2.47
2023-03-08,300,303.5,306,298,7.03,0.5
2023-03-07,290,302,304,286.5,8.3,4.14
2023-03-06,292.5,290,293,286.5,4.67,-0.34
2023-03-03,290,291,292.5,289.5,2.79,0
2023-03-01,284,291,291.5,282,4.96,3.37
2023-02-28,272.5,281.5,281.5,271,5.14,4.26
2023-02-27,275.5,270,276,269.5,1.09,-1.46
2023-02-24,271.5,274,274,270,2.32,1.48
2023-02-23,270,270,271,269,2.46,0
2023-02-22,270,270,271,266,6.56,0.19
2023-02-21,276,269.5,276,269.5,1.72,-2.18
2023-02-20,276,275.5,276.5,273,1.59,-0.18
2023-02-17,273.5,276,277,270.5,1.08,0.55
2023-02-16,270,274.5,274.5,267.5,4.2,1.29
2023-02-15,269,271,271,268.5,2.11,-0.37
2023-02-14,270,272,277,268.5,5.52,0.37
2023-02-13,269,271,272,267.5,5.25,1.31
2023-02-10,275,267.5,275,266.5,4.79,-1.65
2023-02-09,268,272,272,268,4.2,1.49
2023-02-08,272,268,272,268,3.99,-1.47
2023-02-07,270,272,274,268,7.36,0.74
2023-02-06,285,270,286,268.5,9.64,-5.59
2023-02-03,286,286,294,284,9.59,0
2023-02-02,286.5,286,287,277.5,5.87,0.7
2023-02-01,278,284,288,276,3.4,2.16
2023-01-31,271.5,278,281.5,271.5,12.84,2.39
2023-01-30,275,271.5,275.5,270.5,2.76,-1.27
2023-01-27,274.5,275,275.5,272.5,2.94,0.36
2023-01-26,276,274,276,272.5,2.81,0
2023-01-25,274.5,274,275,270.5,2.08,0
2023-01-24,276.5,274,280.5,274,1.61,-0.36
2023-01-23,275,275,278,275,3.66,0.36
2023-01-20,277.5,274,279.5,274,2.82,-1.08
2023-01-19,281.5,277,282.5,274.5,3.44,-2.12
2023-01-18,291.5,283,291.5,283,3.49,-0.88
2023-01-17,291,285.5,292.5,285,1.63,-1.89
2023-01-16,290,291,293.5,289.5,2.5,0.34
2023-01-13,288,290,291,286.5,1.83,0.69
2023-01-12,285,288,293,282,4.62,1.41
2023-01-11,286,284,290,283,2.25,-0.18
2023-01-10,285,284.5,290,284.5,2.85,-1.39
2023-01-09,289,288.5,294.5,283.5,4.33,2.12
2023-01-05,293,282.5,295,281,6.06,-3.58
2023-01-04,290,293,297.5,289,4.06,0
2023-01-03,285,293,294.5,284,3.71,2.81
2023-01-02,283,285,292,282.5,2.2,0.35
2022-12-30,281.5,284,284.5,278.5,0.88,0.89
2022-12-29,279,281.5,282.5,276,1.19,1.08
2022-12-28,280,278.5,281.5,276.5,0.97,-0.54
2022-12-27,282,280,282,279.5,0.38,-0.36
2022-12-23,283.5,281,283.5,279,0.84,-0.35
2022-12-22,282,282,285,279.5,0.52,-1.05
2022-12-21,285,285,285,280,0.62,0.18
2022-12-20,274,284.5,284.5,272,1.37,3.27
2022-12-19,284,275.5,285,275,1.3,-3.33
2022-12-16,281.5,285,285.5,277.5,3.46,1.24
2022-12-15,292,281.5,292.5,276.5,7.43,-3.76
2022-12-14,285,292.5,294,284,4.83,2.45
2022-12-13,284,285.5,286.5,280.5,3.63,0.18
2022-12-12,277,285,285,277,2.51,2.15
2022-12-09,274,279,280,273,2.14,2.39
2022-12-08,274,272.5,275,268,2.47,-0.73
2022-12-07,271,274.5,274.5,265,2.23,1.29
2022-12-06,281.5,271,281.5,271,5.99,-3.73
2022-12-05,279.5,281.5,286,278.5,2.93,0.72
2022-12-02,270.5,279.5,279.5,268,6.01,2.95
2022-12-01,273,271.5,273,266,6.02,0
2022-11-30,270,271.5,273,267,2.29,0.56
2022-11-29,264.5,270,270,264.5,1.62,0.56
2022-11-28,262,268.5,268.5,259,1.85,2.87
2022-11-25,261,261,261,261,0,0
2022-11-24,258,261,261,255.5,1.24,3.16
2022-11-23,255,253,258,253,0.73,-1.17
2022-11-22,249,256,258,249,1.9,2.4
2022-11-21,258,250,258,250,1.36,-3.29
2022-11-18,254,258.5,259,250.5,4.28,1.77
2022-11-17,253,254,254,250,1.71,0.4
2022-11-16,252,253,254,247.5,4.12,1.2
2022-11-15,244,250,251,240,4.21,3.09
2022-11-14,249.5,242.5,253.5,239.5,5.44,-2.61
2022-11-10,249.5,249,250.5,245,8.15,-0.6
2022-11-09,245,250.5,255,243.5,8.02,2.24
2022-11-08,252.5,245,252.5,242.5,3.03,-2.97
2022-11-07,250,252.5,256.5,246.5,4.22,1
2022-11-04,240,250,250,237,5.81,5.04
2022-11-03,243.5,238,243.5,236,2.07,-3.25
2022-11-02,240,246,248,240,1.89,2.5
2022-10-31,241.5,240,243,238.5,1.21,1.48
2022-10-28,235,236.5,242.5,235,2.05,-0.63
2022-10-27,238,238,244,234.5,3.42,0
2022-10-26,231.5,238,238.5,231.5,1.59,3.48
2022-10-25,234.5,230,239,227.5,1.77,-1.71
2022-10-24,224,234,235.5,224,3.41,5.17
2022-10-21,229,222.5,229,220.5,2.48,-2.84
2022-10-20,233.5,229,233.5,229,1.2,-1.29
2022-10-19,237.5,232,237.5,232,0.47,-2.32
2022-10-18,238,237.5,240,234.5,2.32,-0.21
2022-10-17,244,238,244.5,237,1.53,-2.46
2022-10-14,243,244,248.5,239.5,2.18,2.09
2022-10-13,242,239,245,234,1.47,-0.62
2022-10-12,242.5,240.5,245,240,0.78,-0.62
2022-10-11,236,242,248.5,234,3.21,4.09
2022-10-10,237.5,232.5,237.5,230.5,0.83,-2.11
2022-10-07,238.5,237.5,238.5,234,0.84,-0.84
2022-10-06,232,239.5,239.5,231.5,0.8,3.46
2022-10-05,231,231.5,234.5,230,0.51,-1.49
2022-10-04,232,235,235,228,0.98,0.86
2022-10-03,221.5,233,233,221.5,0.83,1.3
2022-09-30,220,230,230,220,1.76,5.02
2022-09-29,226.5,219,232.5,219,1.19,-6.41
2022-09-28,234,234,234,222.5,0.89,-0.43
