Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2023-03-17,12.48,12.28,12.48,12.22,0.05,0.66
2023-03-16,12.2,12.2,12.62,12.1,0.14,-0.49
2023-03-15,12.7,12.26,12.7,12.24,0.18,-2.54
2023-03-14,12.5,12.58,12.76,12.5,0.11,-0.16
2023-03-13,12.94,12.6,12.96,12.5,0.26,-2.93
2023-03-10,13.08,12.98,13.08,12.88,0.16,-1.22
2023-03-09,13.18,13.14,13.2,13.08,0.08,0.46
2023-03-08,13.2,13.08,13.2,13.04,0.06,0.31
2023-03-07,13.3,13.04,13.32,13.04,0.23,-1.21
2023-03-06,13.14,13.2,13.3,13.06,0.15,0.3
2023-03-03,13.12,13.16,13.4,13.06,0.15,-1.64
2023-03-01,13.26,13.38,13.38,13.2,0.1,1.06
2023-02-28,13.02,13.24,13.3,13,0.06,1.07
2023-02-27,13.06,13.1,13.28,12.98,0.11,0.31
2023-02-24,13.06,13.06,13.22,13,0.14,-1.8
2023-02-23,13.3,13.3,13.36,13.02,0.12,0.76
2023-02-22,13.4,13.2,13.4,13.02,0.31,-2.65
2023-02-21,13.46,13.56,13.56,13.32,0.17,0.44
2023-02-20,13.64,13.5,13.64,13.3,0.11,-1.03
2023-02-17,13.16,13.64,13.68,13.16,0.19,2.56
2023-02-16,13.44,13.3,13.6,13.2,0.13,-1.04
2023-02-15,13.6,13.44,13.6,13.3,0.28,-0.74
2023-02-14,13.66,13.54,13.72,13.38,0.14,-0.88
2023-02-13,13.48,13.66,13.76,13.2,0.17,0.15
2023-02-10,13.92,13.64,13.94,13.1,0.22,-1.16
2023-02-09,13.96,13.8,13.96,13.8,0.12,-1.29
2023-02-08,13.56,13.98,13.98,13.52,0.23,3.25
2023-02-07,13.72,13.54,13.74,13.5,0.11,-1.46
2023-02-06,13.92,13.74,13.98,13.7,0.21,-1.58
2023-02-03,13.94,13.96,13.98,13.76,0.25,0.43
2023-02-02,13.94,13.9,14.08,13.74,0.26,1.46
2023-02-01,13.56,13.7,13.9,13.48,0.63,1.03
2023-01-31,13.62,13.56,13.62,13.3,0.07,0.44
2023-01-30,13.7,13.5,13.7,13.4,0.14,-0.44
2023-01-27,13.6,13.56,13.7,13.56,0.12,-0.29
2023-01-26,13.64,13.6,13.72,13.58,0.11,0.74
2023-01-25,13.7,13.5,13.7,13.5,0.11,-1.46
2023-01-24,13.5,13.7,13.74,13.5,0.35,1.63
2023-01-23,13.4,13.48,13.72,13.26,0.28,0.9
2023-01-20,13.16,13.36,13.36,13.16,0.18,2.77
2023-01-19,13.58,13,13.58,12.9,0.5,-2.99
2023-01-18,13.6,13.4,13.8,13.4,0.23,-0.15
2023-01-17,13.78,13.42,13.82,13.4,0.24,-2.04
2023-01-16,13.38,13.7,13.76,13.38,0.3,2.39
2023-01-13,13.3,13.38,13.6,13.2,0.56,2.14
2023-01-12,13.12,13.1,13.28,13.04,0.35,-0.76
2023-01-11,13.4,13.2,13.62,13.2,0.55,-1.35
2023-01-10,13.04,13.38,13.38,13,0.4,2.92
2023-01-09,12.78,13,13,12.66,0.68,2.52
2023-01-05,12.8,12.68,12.94,12.46,0.77,0.32
2023-01-04,12.76,12.64,13,12.64,0.6,-0.94
2023-01-03,12.98,12.76,13.12,12.5,0.78,-1.85
2023-01-02,12.8,13,13.4,12.8,0.3,1.56
2022-12-30,13.08,12.8,13.14,12.76,0.45,-1.54
2022-12-29,12.96,13,13.06,12.84,0.39,1.4
2022-12-28,12.22,12.82,13.16,12.2,1,3.89
2022-12-27,12.62,12.34,12.62,12.3,1.03,-2.53
2022-12-23,13,12.66,13.08,12.52,0.82,-1.86
2022-12-22,13.06,12.9,13.36,12.84,0.67,0.47
2022-12-21,12.44,12.84,12.96,12.38,0.9,3.88
2022-12-20,13.2,12.36,13.2,12.3,2.15,-6.65
2022-12-19,13.36,13.24,13.58,13.16,1.05,-0.9
2022-12-16,13.7,13.36,13.7,13.34,0.41,-1.76
2022-12-15,13.82,13.6,13.82,13.46,1.29,-1.59
2022-12-14,13.82,13.82,13.98,13.7,0.56,-1.29
2022-12-13,13.98,14,14,13.7,0.42,0.14
2022-12-12,13.8,13.98,14,13.56,0.9,0.43
2022-12-09,14.8,13.92,14.8,13.74,4.29,-9.49
2022-12-08,15.3,15.38,15.42,15.28,0.12,1.59
2022-12-07,15.1,15.14,15.36,15,0.1,0.26
2022-12-06,15.28,15.1,15.38,15.1,0.21,-1.44
2022-12-05,15.12,15.32,15.38,15.12,0.39,0.92
2022-12-02,15.8,15.18,15.92,15.02,1,-3.44
2022-12-01,15.2,15.72,15.98,15.2,0.13,3.42
2022-11-30,15.3,15.2,15.54,15.02,0.28,-1.81
2022-11-29,15.6,15.48,15.6,15.36,0.27,-0.77
2022-11-28,16.34,15.6,16.34,15.32,0.58,-4.76
2022-11-25,16.38,16.38,16.38,16.38,0,0
2022-11-24,16.3,16.38,16.4,16.2,0.17,0.49
2022-11-23,16.2,16.3,16.36,16.2,0.2,0.62
2022-11-22,16.34,16.2,16.36,16.2,0.37,-1.22
2022-11-21,16.5,16.4,16.5,16.2,0.2,-0.24
2022-11-18,16.38,16.44,16.7,16.3,0.1,0.37
2022-11-17,16.3,16.38,16.52,16.2,0.19,0.49
2022-11-16,16.2,16.3,16.5,16.14,0.21,-1.69
2022-11-15,16.14,16.58,16.74,16.14,0.42,1.84
2022-11-14,16,16.28,16.3,15.9,0.3,1.75
2022-11-10,16.04,16,16.16,15.72,0.15,-0.37
2022-11-09,16.38,16.06,16.38,16.04,0.13,-1.47
2022-11-08,16.22,16.3,16.4,16.04,0.31,1.24
2022-11-07,15.96,16.1,16.36,15.9,0.58,1
2022-11-04,15.9,15.94,15.96,15.22,0.7,0.25
2022-11-03,15.3,15.9,15.94,15.12,0.56,2.85
2022-11-02,15.96,15.46,15.96,15.46,0.39,-3.01
2022-10-31,15.4,15.94,15.94,15.36,0.25,3.91
2022-10-28,15.7,15.34,15.82,15.02,0.34,-2.29
2022-10-27,15.38,15.7,15.86,15.34,0.24,2.88
2022-10-26,15.18,15.26,15.48,15.02,0.46,0.53
2022-10-25,14.76,15.18,15.2,14.7,0.33,1.47
2022-10-24,15.14,14.96,15.14,14.7,0.13,0.67
2022-10-21,15.18,14.86,15.2,14.86,0.05,-0.4
2022-10-20,15.3,14.92,15.3,14.8,0.08,-1.19
2022-10-19,15.3,15.1,15.3,15.1,0.19,0
2022-10-18,14.82,15.1,15.44,14.82,0.15,2.58
2022-10-17,14.98,14.72,15.1,14.72,0.05,-1.34
2022-10-14,14.98,14.92,15,14.9,0.06,1.5
2022-10-13,14.7,14.7,15,14.7,0.05,-0.54
2022-10-12,14.6,14.78,14.86,14.32,0.13,1.51
2022-10-11,14.64,14.56,14.88,14.52,0.35,-2.15
2022-10-10,15.2,14.88,15.28,14.64,0.24,-1.59
2022-10-07,15.48,15.12,15.48,15.12,0.22,-1.82
2022-10-06,15.6,15.4,15.6,15.2,0.22,-0.52
2022-10-05,15.5,15.48,15.6,15.22,0.15,0.26
2022-10-04,15,15.44,15.46,14.8,0.24,0.92
2022-10-03,15.36,15.3,15.46,14.94,0.4,1.86
2022-09-30,14.7,15.02,15.48,14.7,0.15,1.49
2022-09-29,15.26,14.8,15.34,14.78,0.26,-3.01
2022-09-28,15.46,15.26,15.46,15,0.3,-1.29
2022-09-27,15,15.46,15.48,14.82,0.2,3.62
2022-09-26,15.48,14.92,15.56,14.52,0.17,-3.62
2022-09-23,15.3,15.48,15.8,15.2,0.28,2.25
2022-09-22,15.1,15.14,15.4,15.02,0.43,-1.17
2022-09-21,15.7,15.32,16.06,15.22,0.39,-2.42
2022-09-20,16.2,15.7,16.2,15.7,0.25,-2.85
2022-09-19,15.9,16.16,16.16,15.72,0.11,-0.25
2022-09-16,16.28,16.2,16.28,15.8,0.09,-0.49
2022-09-15,15.98,16.28,16.3,15.74,0.18,2.39
2022-09-14,15.6,15.9,16,15.6,0.07,0
2022-09-13,15.92,15.9,16.2,15.88,0.17,-1.85
2022-09-12,16.44,16.2,16.44,15.82,0.11,-0.37
2022-09-09,15.8,16.26,16.26,15.64,0.29,2.91
2022-09-08,15.76,15.8,15.8,15.6,0.19,0.25
2022-09-07,15.34,15.76,15.8,15.34,0.23,0.9
2022-09-06,15.54,15.62,15.66,15.5,0.28,1.03
2022-09-05,15.8,15.46,15.8,15.3,0.26,-2.15
2022-09-02,14.8,15.8,15.8,14.8,0.47,5.33
2022-09-01,14.64,15,15.36,14.6,0.49,1.9
2022-08-31,14.94,14.72,15,14.42,0.34,-1.74
2022-08-30,15.34,14.98,15.48,14.8,0.31,-0.79
2022-08-29,15.12,15.1,15.3,14.98,0.29,1.21
2022-08-26,15.1,14.92,15.2,14.8,0.09,-0.53
2022-08-25,14.96,15,15.1,14.64,0.55,0.54
2022-08-24,15.4,14.92,15.4,14.5,0.56,-3.24
2022-08-23,15.38,15.42,15.46,15.22,0.33,0.26
2022-08-22,15.28,15.38,15.44,15.14,0.39,0.79
2022-08-19,15.32,15.26,15.5,15.26,0.14,0.13
2022-08-18,15.14,15.24,15.56,15.14,0.14,0.26
2022-08-17,15.7,15.2,15.8,15.2,0.47,-3.43
2022-08-16,15.42,15.74,15.74,15.32,0.47,3.55
2022-08-12,15.04,15.2,15.32,15.04,0.13,1.06
2022-08-11,15.46,15.04,15.5,14.98,0.43,-1.7
2022-08-10,15.26,15.3,15.32,15.14,0.22,-0.13
2022-08-09,15.38,15.32,15.56,15.26,0.34,1.06
2022-08-08,15.4,15.16,15.46,15.02,0.24,-1.69
2022-08-05,15.56,15.42,15.64,14.96,0.61,-0.13
2022-08-04,15,15.44,15.8,15,0.55,3.35
2022-08-03,14.98,14.94,15.18,14.9,0.48,-0.4
2022-08-02,15.04,15,15.06,14.82,0.99,-0.27
2022-08-01,16.2,15.04,16.9,15,3.36,-7.05
2022-07-29,16.46,16.18,16.78,16.16,0.45,-1.22
2022-07-28,17.08,16.38,17.1,16.2,0.81,0.61
2022-07-27,16.54,16.28,16.58,16.08,0.51,0.37
2022-07-26,16.9,16.22,16.92,16.2,0.43,-4.02
2022-07-25,16.9,16.9,17.18,16.66,0.36,0.6
2022-07-22,16.6,16.8,16.88,16.28,0.57,2.69
2022-07-21,16.8,16.36,16.8,16.36,0.37,-2.62
2022-07-20,16.9,16.8,17.28,16.52,0.95,2.31
2022-07-19,16.16,16.42,16.5,16.16,0.36,1.73
2022-07-18,16.26,16.14,16.38,16,0.15,0
2022-07-15,16.18,16.14,16.36,16.06,0.31,0
2022-07-14,16.06,16.14,16.52,15.92,0.26,0.5
2022-07-13,16.26,16.06,16.42,15.84,0.29,-1.47
2022-07-12,16.32,16.3,16.42,16.06,0.07,0.49
2022-07-11,16.5,16.22,16.6,16.02,0.38,-1.22
2022-07-08,16.68,16.42,16.7,16.2,0.24,-0.73
2022-07-07,16.12,16.54,16.74,16.1,0.28,1.97
2022-07-06,16.46,16.22,16.74,16,0.55,-1.46
2022-07-05,16.9,16.46,17.38,16.16,0.61,-3.18
2022-07-04,16.8,17,17.4,16.4,0.6,3.66
