Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2023-03-17,4.13,3.97,4.16,3.95,4.62,-1.78
2023-03-16,4.1,4.04,4.19,3.96,5.14,-0.59
2023-03-15,4.33,4.07,4.34,4.01,7.42,-4.86
2023-03-14,4.16,4.28,4.3,4.14,3.62,2.25
2023-03-13,4.36,4.18,4.42,4.08,10.73,-4.26
2023-03-10,4.43,4.37,4.48,4.33,5.8,-3.75
2023-03-09,4.66,4.54,4.66,4.51,3.3,-1.56
2023-03-08,4.56,4.61,4.65,4.56,4.21,0.22
2023-03-07,4.7,4.6,4.71,4.58,5.07,-2.17
2023-03-06,4.52,4.7,4.73,4.51,6.31,5.57
2023-03-03,4.48,4.45,4.52,4.43,2.58,-2.41
2023-03-01,4.55,4.56,4.62,4.52,4.74,0.75
2023-02-28,4.48,4.53,4.6,4.43,7.53,2.26
2023-02-27,4.46,4.43,4.51,4.41,1.95,-0.72
2023-02-24,4.49,4.46,4.54,4.42,3.1,-0.4
2023-02-23,4.38,4.48,4.49,4.38,7.76,2.38
2023-02-22,4.55,4.38,4.6,4.34,7.23,-3.74
2023-02-21,4.68,4.55,4.69,4.55,4.91,-3.28
2023-02-20,4.81,4.7,4.81,4.7,3.29,-2.29
2023-02-17,4.8,4.81,4.84,4.7,5.56,-0.62
2023-02-16,5,4.84,5.09,4.58,38.64,-3.49
2023-02-15,5.04,5.01,5.04,4.93,5.61,-0.69
2023-02-14,4.93,5.05,5.1,4.86,10.92,4.77
2023-02-13,4.87,4.82,4.94,4.79,3.87,-1.03
2023-02-10,4.99,4.87,5.04,4.86,3.93,-2.7
2023-02-09,4.98,5,5.14,4.96,4.06,1.03
2023-02-08,4.93,4.95,5.03,4.93,2.01,0.81
2023-02-07,4.94,4.91,5.04,4.9,4.48,-0.57
2023-02-06,5.02,4.94,5.05,4.9,5.37,-2.72
2023-02-03,5.07,5.08,5.12,5,2.41,0.59
2023-02-02,5.17,5.05,5.17,4.97,6.26,0
2023-02-01,5.15,5.05,5.21,5,6.92,-1.75
2023-01-31,4.7,5.14,5.15,4.67,19.51,11.89
2023-01-30,4.76,4.59,4.76,4.59,6.62,-4.01
2023-01-27,4.82,4.79,4.86,4.76,3.22,-0.71
2023-01-26,4.8,4.82,4.86,4.71,6.09,1.43
2023-01-25,5.03,4.75,5.03,4.66,22.27,-6.73
2023-01-24,5.16,5.09,5.22,5.06,4.87,-0.88
2023-01-23,5.27,5.14,5.3,5.14,6.36,-2.37
2023-01-20,5.25,5.26,5.37,5.2,3.51,0.67
2023-01-19,5.14,5.23,5.26,5.11,5.38,1.45
2023-01-18,5.23,5.16,5.31,5.13,6.87,-1.43
2023-01-17,5.49,5.23,5.49,5.22,6.9,-4.04
2023-01-16,5.49,5.45,5.54,5.38,1.53,-0.91
2023-01-13,5.58,5.5,5.58,5.41,2.71,-0.36
2023-01-12,5.31,5.52,5.59,5.28,8.21,3.95
2023-01-11,5.72,5.31,5.77,5.3,11.02,-6.35
2023-01-10,5.59,5.67,5.7,5.51,5.17,1.52
2023-01-09,5.66,5.58,5.77,5.53,8.91,-0.98
2023-01-05,5.59,5.64,5.84,5.41,13.41,0.8
2023-01-04,5.1,5.59,5.6,5,17.79,10.36
2023-01-03,4.76,5.07,5.15,4.75,9.32,7.19
2023-01-02,4.67,4.73,4.73,4.6,1.35,3.28
2022-12-30,4.62,4.58,4.64,4.57,0.94,-0.91
2022-12-29,4.52,4.62,4.67,4.51,1.27,1.36
2022-12-28,4.52,4.56,4.59,4.48,1.94,0.88
2022-12-27,4.69,4.52,4.7,4.49,2.13,-2.63
2022-12-23,4.75,4.64,4.75,4.61,1.03,-1.15
2022-12-22,4.69,4.7,4.76,4.64,1.99,-0.04
2022-12-21,4.57,4.7,4.7,4.56,2.15,2.8
2022-12-20,4.55,4.57,4.59,4.5,4.6,0.4
2022-12-19,4.69,4.55,4.72,4.51,2.81,-2.36
2022-12-16,4.55,4.66,4.67,4.52,7,2.24
2022-12-15,4.6,4.56,4.64,4.52,8.37,-1.64
2022-12-14,4.62,4.64,4.71,4.57,3.47,1.98
2022-12-13,4.47,4.55,4.62,4.45,2.74,2.39
2022-12-12,4.4,4.44,4.45,4.34,1.72,0
2022-12-09,4.48,4.44,4.51,4.35,2.34,-1.03
2022-12-08,4.56,4.49,4.56,4.42,2.67,-2.18
2022-12-07,4.57,4.59,4.64,4.53,1.76,0.13
2022-12-06,4.65,4.58,4.65,4.54,4.62,-2.76
2022-12-05,4.58,4.71,4.77,4.58,2.65,2.97
2022-12-02,4.7,4.57,4.7,4.55,4.71,-2.68
2022-12-01,4.75,4.7,4.76,4.65,3.5,1.29
2022-11-30,4.65,4.64,4.76,4.59,7.93,-0.09
2022-11-29,4.69,4.64,4.71,4.6,2.49,-1.44
2022-11-28,4.73,4.71,4.74,4.64,3.1,0.26
2022-11-25,4.7,4.7,4.7,4.7,0,0
2022-11-24,4.68,4.7,4.76,4.63,1.74,0.69
2022-11-23,4.68,4.67,4.74,4.6,3.8,0.86
2022-11-22,4.59,4.63,4.68,4.58,2.71,0.09
2022-11-21,4.8,4.62,4.86,4.56,7.33,-4.9
2022-11-18,4.8,4.86,4.92,4.73,3.22,0.87
2022-11-17,4.88,4.82,4.93,4.7,4.98,-1.63
2022-11-16,4.85,4.9,4.97,4.72,9.24,-1.01
2022-11-15,5.15,4.95,5.16,4.87,9.75,-3.04
2022-11-14,5.05,5.11,5.24,5.03,8.59,1.49
2022-11-10,4.9,5.03,5.09,4.76,10.58,2.28
2022-11-09,4.68,4.92,4.95,4.62,5.48,5.54
2022-11-08,4.59,4.66,4.68,4.51,3.34,2.87
2022-11-07,4.48,4.53,4.64,4.43,4.5,2.21
